Symbol,Sector,holidays
GMMPFAUDLR-EQ,"Machinery, Equipment & Components",
GMRINFRA-EQ,NO DATA,
GNA-EQ,Automobiles & Auto Parts,
GOCLCORP-EQ,Chemicals,
GODHA-EQ,NO DATA,
GOKEX-EQ,Textiles & Apparel,
GOKUL-EQ,Food & Tobacco,
GOKULAGRO-EQ,Food & Tobacco,
GOLDENTOBC-EQ,Food & Tobacco,
GOLDIAM-EQ,Textiles & Apparel,
GOLDTECH-EQ,Software & IT Services,
GOODLUCK-EQ,Metals & Mining,
GOODYEAR-EQ,Automobiles & Auto Parts,
GPTINFRA-EQ,Construction & Engineering,
GREAVESCOT-EQ,"Machinery, Equipment & Components",
GREENLAM-EQ,Paper & Forest Products,
GREENPANEL-EQ,Paper & Forest Products,
GREENPLY-EQ,Paper & Forest Products,
GRINDWELL-EQ,"Machinery, Equipment & Components",
GROBTEA-EQ,Food & Tobacco,
GRPLTD-EQ,Automobiles & Auto Parts,
GSCLCEMENT-EQ,NO DATA,
GSFC-EQ,Chemicals,
GSS-EQ,Software & IT Services,
GTL-EQ,Telecommunications Services,
GTLINFRA-EQ,Telecommunications Services,
GTNTEX-EQ,NO DATA,
GTPL-EQ,Media & Publishing,
GUFICBIO-EQ,Pharmaceuticals,
GUJALKALI-EQ,Chemicals,
GUJAPOLLO-EQ,Metals & Mining,
GULFOILLUB-EQ,Oil & Gas,
GULFPETRO-EQ,Oil & Gas,
GULPOLY-EQ,Chemicals,
HARITASEAT-EQ,NO DATA,
HARRMALAYA-EQ,Food & Tobacco,
HATHWAY-EQ,Media & Publishing,
HATSUN-EQ,Food & Tobacco,
HBLPOWER-EQ,NO DATA,
HCC-EQ,Construction & Engineering,
HCG-EQ,Healthcare Providers & Services,
HCL-INSYS-EQ,Communications & Networking,
HDFC-EQ,NO DATA,
HEIDELBERG-EQ,Construction Materials,
HEMIPROP-EQ,Real Estate Operations,
HERCULES-EQ,Investment Banking & Investment Services,
HERITGFOOD-EQ,Food & Tobacco,
HESTERBIO-EQ,Pharmaceuticals,
HEXATRADEX-EQ,Diversified Industrial Goods Wholesale,
HGINFRA-EQ,Construction & Engineering,
HGS-EQ,Software & IT Services,
HIKAL-EQ,Pharmaceuticals,
HIL-EQ,Investment Banking & Investment Services,
HILTON-EQ,Metals & Mining,
HIMATSEIDE-EQ,Textiles & Apparel,
HINDCOMPOS-EQ,Automobiles & Auto Parts,
HINDNATGLS-EQ,NO DATA,
HINDOILEXP-EQ,Oil & Gas,
HIRECT-EQ,"Machinery, Equipment & Components",
HISARMETAL-EQ,Metals & Mining,
HITECH-EQ,Metals & Mining,
HITECHCORP-EQ,Containers & Packaging,
HLVLTD-EQ,Hotels & Entertainment Services,
HMVL-EQ,Media & Publishing,
HNDFDS-EQ,Food & Tobacco,
HONDAPOWER-EQ,"Machinery, Equipment & Components",
HOTELRUGBY-EQ,NO DATA,
HPL-EQ,"Machinery, Equipment & Components",
HSIL-EQ,NO DATA,
HTMEDIA-EQ,Media & Publishing,
HUHTAMAKI-EQ,Containers & Packaging,
IBREALEST-EQ,NO DATA,
IBULHSGFIN-EQ,NO DATA,
ICEMAKE-EQ,"Machinery, Equipment & Components",
ICIL-EQ,Textiles & Apparel,
ICRA-EQ,Professional & Commercial Services,
IDFC-EQ,NO DATA,
IFBAGRO-EQ,Beverages,
IFBIND-EQ,Household Goods,
IFGLEXPOR-EQ,Construction Materials,
IGARASHI-EQ,Automobiles & Auto Parts,
IGPL-EQ,Chemicals,
IIFLSEC-EQ,NO DATA,
IIFLWAM-EQ,NO DATA,
IMFA-EQ,Metals & Mining,
IMPAL-EQ,Automobiles & Auto Parts,
INDBANK-EQ,Investment Banking & Investment Services,
INDIAGLYCO-EQ,Chemicals,
INDIANCARD-EQ,"Machinery, Equipment & Components",
INDIANHUME-EQ,Construction & Engineering,
INDNIPPON-EQ,Automobiles & Auto Parts,
INDOCO-EQ,Pharmaceuticals,
INDORAMA-EQ,Textiles & Apparel,
INDOSTAR-EQ,Banking Services,
INDOTECH-EQ,"Machinery, Equipment & Components",
INDRAMEDCO-EQ,Healthcare Providers & Services,
INDSWFTLAB-EQ,Pharmaceuticals,
INEOSSTYRO-EQ,NO DATA,
INFIBEAM-EQ,NO DATA,
INFOBEAN-EQ,Software & IT Services,
INGERRAND-EQ,"Machinery, Equipment & Components",
INOXLEISUR-EQ,NO DATA,
INSECTICID-EQ,Chemicals,
INSPIRISYS-EQ,Software & IT Services,
INTENTECH-EQ,Software & IT Services,
INVENTURE-EQ,Investment Banking & Investment Services,
IOLCP-EQ,Pharmaceuticals,
ISEC-EQ,NO DATA,
ISFT-EQ,Software & IT Services,
ISMTLTD-EQ,NO DATA,
ITDC-EQ,Hotels & Entertainment Services,
ITDCEM-EQ,NO DATA,
IZMO-EQ,Software & IT Services,
JAGRAN-EQ,Media & Publishing,
JAGSNPHARM-EQ,Pharmaceuticals,
JAIBALAJI-EQ,Metals & Mining,
JAICORPLTD-EQ,Containers & Packaging,
JAMNAAUTO-EQ,Automobiles & Auto Parts,
JASH-EQ,"Machinery, Equipment & Components",
JAYAGROGN-EQ,Food & Tobacco,
JAYBARMARU-EQ,Automobiles & Auto Parts,
JAYSREETEA-EQ,Food & Tobacco,
JCHAC-EQ,NO DATA,
JHS-EQ,Personal & Household Products & Services,
JINDALPOLY-EQ,Containers & Packaging,
JINDRILL-EQ,Oil & Gas Related Equipment and Services,
JINDWORLD-EQ,Textiles & Apparel,
JISLJALEQS-EQ,"Machinery, Equipment & Components",
JKIL-EQ,Construction & Engineering,
JKLAKSHMI-EQ,Construction Materials,
JKPAPER-EQ,Paper & Forest Products,
JMA-EQ,Automobiles & Auto Parts,
JMCPROJECT-EQ,NO DATA,
JOCIL-EQ,Chemicals,
JPASSOCIAT-EQ,Consumer Goods Conglomerates,
JSLHISAR-EQ,NO DATA,
JSWISPL-EQ,NO DATA,
JTEKTINDIA-EQ,Automobiles & Auto Parts,
JUBILANT-EQ,Chemicals,
JUBLINDS-EQ,NO DATA,
JUMPNET-EQ,NO DATA,
KABRAEXTRU-EQ,"Machinery, Equipment & Components",
KAKATCEM-EQ,Construction Materials,
KALPATPOWR-EQ,NO DATA,
KAMATHOTEL-EQ,Hotels & Entertainment Services,
KAMDHENU-EQ,Metals & Mining,
KANANIIND-EQ,Textiles & Apparel,
KANPRPLA-EQ,Containers & Packaging,
KARDA-EQ,NO DATA,
KAYA-EQ,Personal & Household Products & Services,
KCP-EQ,Construction Materials,
KCPSUGIND-EQ,Food & Tobacco,
KDDL-EQ,Textiles & Apparel,
KECL-EQ,"Machinery, Equipment & Components",
KEERTI-EQ,Construction Materials,
KELLTONTEC-EQ,Software & IT Services,
KENNAMET-EQ,NO DATA,
KESORAMIND-EQ,Chemicals,
KEYFINSERV-EQ,Investment Banking & Investment Services,
KHADIM-EQ,Specialty Retailers,
KHAICHEM-EQ,Chemicals,
KICL-EQ,Investment Banking & Investment Services,
KINGFA-EQ,Chemicals,
KIOCL-EQ,Metals & Mining,
KIRIINDUS-EQ,Chemicals,
KIRLFER-EQ,NO DATA,
KIRLOSIND-EQ,Metals & Mining,
KITEX-EQ,Textiles & Apparel,
KKCL-EQ,Textiles & Apparel,
KMSUGAR-EQ,Food & Tobacco,
KOKUYOCMLN-EQ,Professional & Commercial Services,
KOLTEPATIL-EQ,Real Estate Operations,
KOPRAN-EQ,Pharmaceuticals,
KOTARISUG-EQ,Food & Tobacco,
KOTHARIPET-EQ,Chemicals,
KOTHARIPRO-EQ,Diversified Industrial Goods Wholesale,
KRBL-EQ,Food & Tobacco,
KREBSBIO-EQ,Pharmaceuticals,
